transaction_id,sender_id,late_night_txn,high_amount,amount_deviation,fraud_flag
0,user_549,0,0,0.5209283489067503,0
1,user_1910,0,0,0.3712943351865424,0
2,user_328,0,0,0.49555317500048274,0
3,user_1841,0,0,0.7895379607158441,0
4,user_701,0,0,0.8134753577020019,0
5,user_222,0,0,0.9794697796879039,0
6,user_1832,1,0,0.1116681472192744,0
7,user_558,0,0,0.28221448833342455,0
8,user_535,0,0,1.3495736876835394,0
9,user_1991,0,0,1.3322903437349265,0
10,user_931,1,0,0.6082364276979746,0
11,user_1687,0,0,1.1267471279785297,0
12,user_806,0,0,1.4707335840203142,0
13,user_1127,0,0,0.2552843260907662,0
14,user_1129,0,0,3.1243135625484646,0
15,user_501,0,0,1.0361652466352838,0
16,user_1254,0,0,0.21243629052779028,0
17,user_1056,0,0,0.6666177357282694,0
18,user_1897,0,0,2.112883815627177,0
19,user_799,0,0,1.9589833327875832,0
20,user_947,0,0,1.0229390116549368,0
21,user_1388,0,0,0.40763459123124324,0
22,user_982,0,0,1.0156351358326547,0
23,user_92,0,0,0.10406398569372355,0
24,user_851,0,0,1.062205145158056,0
25,user_319,0,0,1.2453591302314708,0
26,user_1987,0,0,0.12776827907256097,0
27,user_48,0,0,1.1830657572184506,0
28,user_1906,1,0,0.20233412187758487,0
29,user_90,1,0,0.5557440613739365,0
30,user_115,0,0,0.6829255024074489,0
31,user_128,1,0,0.4795429319743188,0
32,user_349,0,0,0.33617604497543113,0
33,user_159,0,0,0.7706762140849739,0
34,user_1926,0,0,1.533717623711892,0
35,user_666,1,0,0.6591996656566711,0
36,user_106,0,0,0.07077351326614695,0
37,user_321,1,0,0.3661960751719449,0
38,user_1802,0,0,0.2040847354086827,0
39,user_406,0,0,0.017948528563408075,0
40,user_1730,0,0,1.325544322518339,0
41,user_545,0,0,0.32056951062651823,0
42,user_71,0,0,1.6343950295339,0
43,user_903,0,0,0.771207465420175,0
44,user_1796,1,0,0.19971535672861954,0
45,user_1045,0,0,1.3866244726196146,0
46,user_794,1,0,0.6769573940830551,0
47,user_1746,0,0,1.6598419066603582,0
48,user_1963,0,0,0.7883145895957389,0
49,user_1576,1,0,2.6245411567371257,0
50,user_1266,0,0,0.14742159997850213,0
51,user_1669,0,1,3.576176946306838,0
52,user_34,1,0,0.3968354768781383,0
53,user_685,0,0,0.006924682515947428,0
54,user_1460,0,0,1.534338775599865,0
55,user_665,0,0,1.438760561777283,0
56,user_235,0,0,0.3556857509649,0
57,user_1541,0,0,1.5668627852628463,0
58,user_1545,0,0,0.8238538482598157,0
59,user_1001,1,0,0.02539272715178593,0
60,user_360,1,0,2.433771636936647,0
61,user_1892,0,0,0.4551240116236192,0
62,user_325,0,0,0.4885417534791944,0
63,user_623,0,0,0.0841436525242062,0
64,user_644,0,0,1.1688089789593927,0
65,user_1433,0,0,0.0441255756377268,0
66,user_1577,0,0,0.8815287332005383,0
67,user_1032,1,0,0.2200751433905113,0
68,user_507,0,0,2.097568870268447,0
69,user_1844,0,0,0.8751419614438323,0
70,user_1791,0,0,2.0253114289091125,0
71,user_1135,1,0,0.1673918138893096,0
72,user_597,0,0,3.241050710754069,0
73,user_599,1,0,1.7303495812719132,0
74,user_1578,1,0,0.7160986514330236,0
75,user_953,0,0,0.44939917386406303,0
76,user_1189,0,0,0.9313066276841314,1
77,user_1859,0,0,4.848536748595909,0
78,user_130,1,0,0.09244415250079123,0
79,user_1168,1,0,1.0488815681779802,0
80,user_907,0,0,0.8515118114181217,0
81,user_921,0,0,1.3620565266085434,0
82,user_47,0,0,0.9021945357580308,0
83,user_1697,1,0,0.12584716890926181,0
84,user_1042,0,0,1.0001591358353352,0
85,user_624,0,0,0.6718664777979468,0
86,user_268,1,0,1.7208597562373595,0
87,user_1218,0,0,0.8185789631314182,0
88,user_777,1,0,1.1023334303355434,0
89,user_1524,1,0,0.026988298955036242,0
90,user_361,0,0,1.8557059228529214,0
91,user_152,1,0,1.1351032363439881,0
92,user_1558,0,1,4.343255251882866,0
93,user_1307,0,0,0.1547194434978945,0
94,user_1473,0,0,1.8849820511537805,0
95,user_1799,0,0,1.4640201881492043,0
96,user_345,0,0,0.5541047867845217,0
97,user_1207,1,0,0.9910322079811281,0
98,user_1113,0,0,0.7942957074120638,0
99,user_1999,1,0,0.2788645218681514,0
100,user_1800,0,0,0.9737663365639523,0
101,user_1573,0,0,0.29078159865820136,0
102,user_1821,0,0,0.16592120474728625,0
103,user_1934,1,0,0.16316968434232276,0
104,user_414,0,0,1.0866945566289246,0
105,user_217,1,0,0.6753112364343866,0
106,user_1823,0,0,2.3240073809676476,0
107,user_335,0,0,1.8583352738623131,0
108,user_1372,0,1,4.332642390789515,0
109,user_1574,0,0,2.1351906806762626,0
110,user_1891,0,0,2.054079605632022,0
111,user_1818,0,0,0.273912991888404,0
112,user_24,0,0,1.5185247684855026,0
113,user_1478,0,0,1.2871021239814,0
114,user_737,0,0,3.2000847447168255,0
115,user_503,0,0,0.529182089388859,0
116,user_1712,1,0,0.592683310459219,0
117,user_7,0,0,2.697241109502576,0
118,user_3,0,0,1.7777256413308142,0
119,user_1276,0,0,0.06098238147219079,0
